"Year","Constituency","NA_Code","Province","District","Division","Party","Candidate_Name_Raw","Regions_11","Regions_12","Regions_5","Registered_Voters","Rejected_Votes","Six_Parties","Turnout_N","Zones_20","Votes","Has_Candidate_Name","Party_Original","Candidate_Original","Candidate_Name","Candidate_ID"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","ANP","Alhaj Ghulam Ahmad Bilour","Peshawar Valley","Peshawar Valley","KPK",320581,1093,"Province Parties",22.96268338,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",34386,TRUE,"ANP","Alhaj Ghulam Ahmad Bilour","Alhaj Ghulam Ahmad Bilour","Alhaj_Ghulam_Ahmad_Bilour_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Niaz Muhammad Momand","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",14,TRUE,"IND","Niaz Muhammad Momand","Niaz Muhammad Momand","Niaz_Muhammad_Momand_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Mian Sultan Muhammad","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",18,TRUE,"IND","Mian Sultan Muhammad","Mian Sultan Muhammad","Mian_Sultan_Muhammad_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Malik Najab Gul Khalil","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",19,TRUE,"IND","Malik Najab Gul Khalil","Malik Najab Gul Khalil","Malik_Najab_Gul_Khalil_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Syed Fayaz Ali Shah","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",25,TRUE,"IND","Syed Fayaz Ali Shah","Syed Fayaz Ali Shah","Syed_Fayaz_Ali_Shah_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Yasmin Sherazi","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",46,TRUE,"IND","Yasmin Sherazi","Yasmin Sherazi","Yasmin_Sherazi_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Muhammad Atiq Ur Rehman","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",67,TRUE,"IND","Muhammad Atiq Ur Rehman","Muhammad Atiq Ur Rehman","Muhammad_Atiq_Ur_Rehman_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Kamran Sadiq","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",498,TRUE,"IND","Kamran Sadiq","Kamran Sadiq","Kamran_Sadiq_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","IND","Samad Mursalin","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Independent Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",1770,TRUE,"IND","Samad Mursalin","Samad Mursalin","Samad_Mursalin_NA-1"
2013,"NA-1 - Peshawar","NA-1","KPK","Peshawar","Peshawar","MUTAHIDA DEENI MAHAZ","Muhammad Ibrahim Qasmi","Peshawar Valley","Peshawar Valley","KPK",NA,NA,"Province Parties",NA,"Zone-3 (Peshawar Valley) Peshawar & Mardan Divisions",6673,TRUE,"MUTAHIDA DEENI MAHAZ","Muhammad Ibrahim Qasmi","Muhammad Ibrahim Qasmi","Muhammad_Ibrahim_Qasmi_NA-1"
