"Candidate_ID","Party","Weight","Candidate_Name"
"Mirza_Zulfiqar_Ahmed","Aalay Kalam Ullah Farman Rasool",1,"Mirza Zulfiqar Ahmed"
"Nawab_Amber_Shahzada","Aap Janab Sarkar Party",1,"Nawab Amber Shahzada"
"Nawab_Doctor_Amber_Shahzada","Aap Janab Sarkar Party",1,"Nawab Doctor Amber Shahzada"
"Nawab_Dr__Amber_Shehzada","Aap Janab Sarkar Party",1,"Nawab Dr. Amber Shehzada"
"Noor_Hussain","AATP",1,"Noor Hussain"
"Rashida_Naeem","AATP",1,"Rashida Naeem"
"Waqar_Ahmed","AATP",1,"Waqar Ahmed"
"Ehsaamuddin","Afgan Qomi Movement (Pakistan)",1,"Ehsaamuddin"
"Arslan_Khan_Manj","AJP",1,"Arslan Khan Manj"
"Ghulam_Mustafa","AJP",1,"Ghulam Mustafa"
"Mirza_Tariq_Mehmood","AJP",1,"Mirza Tariq Mehmood"
"Muhammad_Ali_Khan_Yousafzai","AJP",1,"Muhammad Ali Khan Yousafzai"
"Muhammad_Amin_Watoo","AJP",1,"Muhammad Amin Watoo"
"Muhammad_Kashif","AJP-P",1,"Muhammad Kashif"
"Syed_Muhammad_Hussain","AL",1,"Syed Muhammad Hussain"
"Sadeed_Anver_Malik_Kashir","ALI",1,"Sadeed Anver Malik Kashir"
"Zain_Ul_Abideen","ALI",1,"Zain Ul Abideen"
"Rana_Muhammad_Ali","All Pakistan Bayrozgar Party",1,"Rana Muhammad Ali"
"Abdul_Majeed","All Pakistan Muslim League",1,"Abdul Majeed"
"Akhtar_Nawaz_Faisal_Daryana","All Pakistan Muslim League",1,"Akhtar Nawaz Faisal Daryana"
"Amoon_Pasha","All Pakistan Muslim League",1,"Amoon Pasha"
"Arshad_Ali","All Pakistan Muslim League",1,"Arshad Ali"
"Asghar_Abbas","All Pakistan Muslim League",1,"Asghar Abbas"
"Ashar_Jahangir","All Pakistan Muslim League",1,"Ashar Jahangir"
"Babar_Ali","All Pakistan Muslim League",1,"Babar Ali"
"Ch__Muhamamd_Ilyas","All Pakistan Muslim League",1,"Ch. Muhamamd Ilyas"
"Ch_Ghulam_Dastageer","All Pakistan Muslim League",1,"Ch Ghulam Dastageer"
"Chaudhary_Tanveer_Ahmed_Advocate","All Pakistan Muslim League",1,"Chaudhary Tanveer Ahmed Advocate"
"Choudhry_Gulzar_Hussain_Gohar_Advocate","All Pakistan Muslim League",1,"Choudhry Gulzar Hussain Gohar Advocate"
"Dilshad_Rind","All Pakistan Muslim League",1,"Dilshad Rind"
"Farid_Ullah_Bazai","All Pakistan Muslim League",1,"Farid Ullah Bazai"
"Ghulam_Haider","All Pakistan Muslim League",1,"Ghulam Haider"
"Ghulam_Qadir_Bajwa","All Pakistan Muslim League",1,"Ghulam Qadir Bajwa"
"Haji_Rashid_Ahmed_Khan_Rana","All Pakistan Muslim League",1,"Haji Rashid Ahmed Khan Rana"
"Hizbullah","All Pakistan Muslim League",1,"Hizbullah"
"Iftikhar_Ud_Din","All Pakistan Muslim League",1,"Iftikhar Ud Din"
"Israr_Ahmad_Chishti_Advocate","All Pakistan Muslim League",1,"Israr Ahmad Chishti Advocate"
"Jawaid_Ahmed_Khan","All Pakistan Muslim League",1,"Jawaid Ahmed Khan"
"Khalid_Ibrar","All Pakistan Muslim League",1,"Khalid Ibrar"
"Makhdeem_Syed_Zahid_Hussain","All Pakistan Muslim League",1,"Makhdeem Syed Zahid Hussain"
"Makhodzada_Syed_Hasan_Raza_Gillini","All Pakistan Muslim League",1,"Makhodzada Syed Hasan Raza Gillini"
"Malik_Azhar_Mehmood","All Pakistan Muslim League",1,"Malik Azhar Mehmood"
"Malik_Fakhar_Iqbal_Wattoo","All Pakistan Muslim League",1,"Malik Fakhar Iqbal Wattoo"
"Malik_Hamid_Mehmood","All Pakistan Muslim League",1,"Malik Hamid Mehmood"
"Malik_Muhammad_Iqbal_Jora","All Pakistan Muslim League",1,"Malik Muhammad Iqbal Jora"
"Malik_Muhammad_Siddique_Advocate","All Pakistan Muslim League",1,"Malik Muhammad Siddique Advocate"
"Malik_Nisar_Ahmad_Thind","All Pakistan Muslim League",1,"Malik Nisar Ahmad Thind"
"Malik_Shamriz_Awan","All Pakistan Muslim League",1,"Malik Shamriz Awan"
"Malik_Zia_Ul_Haque_Tiwana","All Pakistan Muslim League",1,"Malik Zia Ul Haque Tiwana"
"Mashood_Ahsan_Gill","All Pakistan Muslim League",1,"Mashood Ahsan Gill"
"Mian_Nadeem_Ahmed_Saleemi","All Pakistan Muslim League",1,"Mian Nadeem Ahmed Saleemi"
"Mirza_Bilal_Baig","All Pakistan Muslim League",1,"Mirza Bilal Baig"
"Mohammad_Sharif_Rind","All Pakistan Muslim League",1,"Mohammad Sharif Rind"
"Muhammad_Amjad","All Pakistan Muslim League",1,"Muhammad Amjad"
"Muhammad_Asim_Ishtiaq","All Pakistan Muslim League",1,"Muhammad Asim Ishtiaq"
