"ID","Name","Type","Num_Candidates"
"AATP","AATP","Party",3
"AHTP","AHTP","Party",5
"AJIP","AJIP","Party",1
"AJP","AJP","Party",5
"AJP-P","AJP-P","Party",1
"AJPP","AJPP","Party",8
"AJSP","AJSP","Party",3
"AKUFR","AKUFR","Party",1
"AL","AL","Party",1
"ALI","ALI","Party",2
"ALPP","ALPP","Party",1
"AMLP","AMLP","Party",20
"ANP","ANP","Party",149
"APBP","APBP","Party",1
"APML","APML","Party",76
"APMM","APMM","Party",1
"APP","APP","Party",4
"APYWP","APYWP","Party",1
"AQM-P","AQM-P","Party",1
"ATP","ATP","Party",3
"AWP","AWP","Party",12
"BAP","BAP","Party",9
"BNAP","BNAP","Party",2
"BNP","BNP","Party",25
"BNP-A","BNP-A","Party",19
"BPP","BPP","Party",8
"CPM","CPM","Party",2
"CPP","CPP","Party",1
"GAP","GAP","Party",1
"GDA","GDA","Party",29
"GDP","GDP","Party",1
"HAIP","HAIP","Party",1
"HDP","HDP","Party",5
"HDTB","HDTB","Party",1
"HDTP","HDTP","Party",1
"HKP","HKP","Party",2
"HQM","HQM","Party",3
"IIP","IIP","Party",4
"IJI","IJI","Party",1
"IP","IP","Party",2
"IPM","IPM","Party",2
"IPP","IPP","Party",27
"IRP","IRP","Party",1
"ITP","ITP","Party",9
"JAHP-EZ","JAHP-EZ","Party",4
"JI","JI","Party",162
"JI-P","JI-P","Party",225
"JPP","JPP","Party",9
"JQM","JQM","Party",4
"JUI","JUI","Party",67
"JUI-F","JUI-F","Party",230
"JUI-NP","JUI-NP","Party",13
"JUI-S","JUI-S","Party",5
"JUP","JUP","Party",9
"JUP-N","JUP-N","Party",47
"JUP-NZ","JUP-NZ","Party",1
"JWP","JWP","Party",18
"KIAP","KIAP","Party",3
"KMP","KMP","Party",2
"KS","KS","Party",2
"MAPP","MAPP","Party",2
"MBMP","MBMP","Party",1
"MDM","MDM","Party",87
"MJAHP","MJAHP","Party",4
"MJMP","MJMP","Party",3
"MJUP-FK","MJUP-FK","Party",1
"MKQM","MKQM","Party",7
"MMA","MMA","Party",109
"MOTP","MOTP","Party",7
"MP","MP","Party",2
"MQM","MQM","Party",405
"MQP","MQP","Party",3
"MWMP","MWMP","Party",34
"MWNIKA","MWNIKA","Party",2
"NDM","NDM","Party",6
"NP","NP","Party",26
"NPP","NPP","Party",6
"PAAM","PAAM","Party",2
"Pakistan Muslim League","Pakistan Muslim League","Party",245
"Pakistan Muslim League “H” Haqiqi","Pakistan Muslim League “H” Haqiqi","Party",1
"Pakistan Muslim League Humkhiyal (Like Minded)","Pakistan Muslim League Humkhiyal (Like Minded)","Party",1
"PAL","PAL","Party",4
"PAP","PAP","Party",4
"PAP-A","PAP-A","Party",4
"PAQ","PAQ","Party",1
"PAT","PAT","Party",38
"PBP","PBP","Party",4
"PBP-B","PBP-B","Party",1
"PCM","PCM","Party",1
"PCP","PCP","Party",11
"PDP","PDP","Party",2
"PDQM","PDQM","Party",6
"PFM","PFM","Party",1
"PFP","PFP","Party",8
"PFP-F","PFP-F","Party",17
"PGP","PGP","Party",2
"PHRP","PHRP","Party",1
"PI-P","PI-P","Party",1
"PIHP","PIHP","Party",1
"PIJP","PIJP","Party",1
"PIRP","PIRP","Party",3
"PIT","PIT","Party",1
"PJP","PJP","Party",13
"PJP-J","PJP-J","Party",3
"PKI","PKI","Party",8
"PKMAP","PKMAP","Party",41
"PL","PL","Party",1
"PMA","PMA","Party",10
"PML","PML","Party",13
"PML-AKFH","PML-AKFH","Party",1
"PML-C","PML-C","Party",4
"PML-F","PML-F","Party",44
"PML-J","PML-J","Party",14
"PML-M","PML-M","Party",1
"PML-MJ","PML-MJ","Party",1
"PML-N","PML-N","Party",567
"PML-Q","PML-Q","Party",1
"PML-S","PML-S","Party",1
"PML-SB","PML-SB","Party",3
"PML-Z","PML-Z","Party",4
"PMLKQK","PMLKQK","Party",1
"PMLO","PMLO","Party",1
"PMLZ","PMLZ","Party",6
"PMML","PMML","Party",145
"PMNL","PMNL","Party",1
"PMP","PMP","Party",2
"PMP-M","PMP-M","Party",2
"PMWP","PMWP","Party",2
"PNAP","PNAP","Party",10
"PNP","PNP","Party",19
"PP","PP","Party",2
"PPAP","PPAP","Party",1
"PPP","PPP","Party",710
"PQL","PQL","Party",1
"PQP","PQP","Party",2
"PRHP","PRHP","Party",38
"PSDP","PSDP","Party",1
"PSP","PSP","Party",5
"PST","PST","Party",48
"PTE","PTE","Party",5
"PTI","PTI","Party",488
"PTI-I","PTI-I","Party",4
"PTSB","PTSB","Party",1
"PTSP","PTSP","Party",2
"PWP","PWP","Party",3
"QAT","QAT","Party",1
"QTP","QTP","Party",2
"QWP","QWP","Party",18
"QWP-S","QWP-S","Party",11
"RPMWP","RPMWP","Party",2
"SDP","SDP","Party",3
"SIC","SIC","Party",18
"Sindh Dost Ittehad (SDI) Party","Sindh Dost Ittehad (SDI) Party","Party",1
"Sindh Taraqi Passand Party (STP)","Sindh Taraqi Passand Party (STP)","Party",9
"Sindh United Party","Sindh United Party","Party",15
"SKQM","SKQM","Party",5
"SQI","SQI","Party",3
"SSMP","SSMP","Party",2
"ST","ST","Party",11
"SUP","SUP","Party",1
"TAP","TAP","Party",1
"TDP","TDP","Party",3
"TEM","TEM","Party",1
"TIP","TIP","Party",4
"TIPM","TIPM","Party",1
"TIUP","TIUP","Party",2
"TJP","TJP","Party",8
"TLI","TLI","Party",4
"TLP","TLP","Party",213
"TNP","TNP","Party",1
"TSH","TSH","Party",7
"TTK","TTK","Party",1
"TTNP","TTNP","Party",1
"TTP","TTP","Party",62
"TWP","TWP","Party",1
