"Candidate_ID","Candidate_Name","Num_Parties"
"Abdul_Rehman","Abdul Rehman",6
"Muhammad_Aslam","Muhammad Aslam",6
"Abdul_Qadir","Abdul Qadir",5
"Muhammad_Ramzan","Muhammad Ramzan",5
"Muhammad_Yousaf","Muhammad Yousaf",5
"Abdul_Hameed","Abdul Hameed",4
"Abdul_Khaliq","Abdul Khaliq",4
"Abdul_Qayyum","Abdul Qayyum",4
"Abdul_Rauf","Abdul Rauf",4
"Abid_Hussain","Abid Hussain",4
"Ajab_Khan","Ajab Khan",4
"Atta_Ur_Rehman","Atta Ur Rehman",4
"Ghulam_Qadir","Ghulam Qadir",4
"Ghulam_Rasool","Ghulam Rasool",4
"Muhammad_Anwar","Muhammad Anwar",4
"Muhammad_Iqbal","Muhammad Iqbal",4
"Muhammad_Ishaq","Muhammad Ishaq",4
"Muhammad_Rafiq","Muhammad Rafiq",4
"Muhammad_Rafique","Muhammad Rafique",4
"Muhammad_Tahir","Muhammad Tahir",4
"Sajid_Ali","Sajid Ali",4
"Umar_Farooq","Umar Farooq",4
"Abdul_Aleem_Khan","Abdul Aleem Khan",3
"Abdul_Bari","Abdul Bari",3
"Abdul_Ghafoor","Abdul Ghafoor",3
"Abdul_Jabbar_Khan","Abdul Jabbar Khan",3
"Abdul_Rasheed","Abdul Rasheed",3
"Abdul_Sattar","Abdul Sattar",3
"Abdul_Waheed_Khan","Abdul Waheed Khan",3
"Abdullah","Abdullah",3
"Aftab_Ahmad_Khan_Sherpao","Aftab Ahmad Khan Sherpao",3
"Aijaz_Ali","Aijaz Ali",3
"Aziz_Ur_Rehman","Aziz Ur Rehman",3
"Ghulam_Abbas","Ghulam Abbas",3
"Ghulam_Mustafa","Ghulam Mustafa",3
"Ghulam_Nabi","Ghulam Nabi",3
"Imran_Khan","Imran Khan",3
"Jahangir_Khan_Tareen","Jahangir Khan Tareen",3
"Khalid_Mehmood","Khalid Mehmood",3
"Liaqat_Ali","Liaqat Ali",3
"Manzoor_Ahmed","Manzoor Ahmed",3
"Mehmood_Khan_Achakzai","Mehmood Khan Achakzai",3
"Muhammad_Afzal","Muhammad Afzal",3
"Muhammad_Amjad","Muhammad Amjad",3
"Muhammad_Arshad","Muhammad Arshad",3
"Muhammad_Asghar","Muhammad Asghar",3
"Muhammad_Asif","Muhammad Asif",3
"Muhammad_Iqbal_Khan","Muhammad Iqbal Khan",3
"Muhammad_Ismail","Muhammad Ismail",3
"Muhammad_Qasim","Muhammad Qasim",3
"Muhammad_Riaz","Muhammad Riaz",3
"Muhammad_Sadiq","Muhammad Sadiq",3
"Muhammad_Saleem_Khan","Muhammad Saleem Khan",3
"Muhammad_Shafique","Muhammad Shafique",3
"Muhammad_Shahid","Muhammad Shahid",3
"Muhammad_Younas","Muhammad Younas",3
"Muhammad_Zaman","Muhammad Zaman",3
"Naveed_Iqbal","Naveed Iqbal",3
"Niaz_Muhammad","Niaz Muhammad",3
"Saeed_Ahmed","Saeed Ahmed",3
"Saif_Ullah","Saif Ullah",3
"Sajjad_Ahmad","Sajjad Ahmad",3
"Sher_Akbar_Khan","Sher Akbar Khan",3
"Syed_Inayat_Ali_Shah","Syed Inayat Ali Shah",3
"Syed_Javed_Ali_Shah","Syed Javed Ali Shah",3
"Tahir_Iqbal","Tahir Iqbal",3
"Usman_Ghani","Usman Ghani",3
"Zafar_Iqbal","Zafar Iqbal",3
"Abdul_Aziz","Abdul Aziz",2
"Abdul_Baqi","Abdul Baqi",2
"Abdul_Hakeem_Baloch","Abdul Hakeem Baloch",2
"Abdul_Hameed_Khan","Abdul Hameed Khan",2
"Abdul_Jabbar","Abdul Jabbar",2
"Abdul_Khaliq_Rehmani","Abdul Khaliq Rehmani",2
"Abdul_Latif","Abdul Latif",2
"Abdul_Majeed","Abdul Majeed",2
"Abdul_Malik","Abdul Malik",2
"Abdul_Mohsin","Abdul Mohsin",2
"Abdul_Qayyum_Khan_Jatoi","Abdul Qayyum Khan Jatoi",2
"Abdul_Rashid","Abdul Rashid",2
"Abdul_Razzaq","Abdul Razzaq",2
"Abdul_Razzaque","Abdul Razzaque",2
"Abdul_Shakoor","Abdul Shakoor",2
"Abdul_Wahab","Abdul Wahab",2
"Abdul_Wajid","Abdul Wajid",2
"Abrar_Hussain","Abrar Hussain",2
"Ahmad_Raza_Maneka","Ahmad Raza Maneka",2
"Akhtar_Ali_Khan","Akhtar Ali Khan",2
