"Degree","Count"
0,47
1,56
2,52
3,36
4,31
5,22
6,23
7,47
8,33
9,16
10,25
11,9
12,43
13,50
16,29
17,17
18,16
24,23
25,24
26,21
28,49
30,1
33,1
37,60
39,1
43,36
46,40
47,42
49,2
51,1
57,1
58,49
66,44
67,1
71,1
72,2
75,68
76,1
79,1
86,75
90,1
103,1
108,101
109,1
112,1
114,1
120,1
121,2
144,119
148,136
154,1
155,1
160,1
161,135
167,1
169,1
173,1
183,1
202,1
205,2
208,2
212,178
214,1
224,183
227,2
229,192
231,1
232,3
234,1
236,1
237,1
240,1
244,218
245,1
246,1
247,1
252,1
264,1
269,1
276,1
284,4
292,3
298,1
299,1
302,1
304,1
307,1
312,1
331,6
354,2
366,1
369,2
373,11
376,1
404,358
411,1
416,1
419,1
421,1
431,4
438,1
450,1
452,1
455,1
467,1
468,1
473,1
487,439
488,1
490,1
499,1
503,2
512,1
525,1
534,1
538,1
545,1
547,1
550,2
551,1
554,1
561,3
564,1
566,523
568,1
573,1
580,1
582,1
593,2
598,1
601,1
607,2
609,1
617,2
629,1
630,1
631,1
632,1
634,1
639,1
640,2
641,1
654,1
669,1
673,1
707,6
709,647
710,1
712,1
715,1
717,1
718,1
719,1
721,1
727,1
728,4
744,1
755,1
772,1
774,1
775,2
777,1
788,1
792,1
796,1
802,8
806,1
849,1
850,1
855,1
866,1
875,1
886,3
887,1
913,5
921,1
930,2
932,1
933,4
951,3
952,1
965,4
977,1
988,1
1010,1
1024,1
1050,4
1088,1
1105,9
1177,1
1182,11
1189,2
1223,1
1244,1
1258,1
1269,6
1311,1
1339,1
1341,1
1604,1
