"Party","Betweenness"
"TLP",672.72770304089
"MQM",517.171468762837
"PTI",448.460548614238
"JUI-F",442.229760610084
"JI-P",419.477817628745
"PPP",396.60920434791
"PML-N",391.696975152097
"PMML",352.274646083863
"Pakistan Muslim League",267.561308942848
"PKMAP",201.213516342618
"MDM",192.4999504967
"GDA",172.404973297481
"JI",158.882138471264
"TTP",145.777869687932
"JUI",138.509899128892
"PAT",116.122000174748
"ANP",89.9568177995035
"AWP",85
"PFP-F",85
"PML-Z",85
"SDP",85
"PRHP",48.4272219137931
"MKQM",47.8622838418891
"PST",43.8664627177089
"MOTP",25.6358669108669
"QWP",23.600314962815
"BNP",22.5621049229408
"JUP-N",22.1755196111078
"PML-F",15.2806315906316
"IPP",14.2003863811291
"BNP-A",12.9583946669086
"QWP-S",12.3327625590783
"APML",7.42284382284382
"AMLP",5.57418137418137
"PML",2.19090937442331
"NP",1.79166666666667
"KIAP",1.19185010036403
"SKQM",0.75
"MAPP",0.691666666666667
"ST",0.519444444444444
"MWMP",0.388888888888889
"AHTP",0
"AJP",0
"AJP-P",0
"BAP",0
"GDP",0
"HDP",0
"HQM",0
"IIP",0
"IJI",0
"JPP",0
"JUI-S",0
"JUP",0
"JWP",0
"MJAHP",0
"MMA",0
"MWNIKA",0
"NDM",0
"NPP",0
"PAL",0
"PAP",0
"PAP-A",0
"PCM",0
"PFP",0
"PHRP",0
"PIRP",0
"PJP",0
"PML-C",0
"PML-J",0
"PMLO",0
"PMLZ",0
"PMP",0
"PNAP",0
"PNP",0
"PSP",0
"PTE",0
"SIC",0
"Sindh Dost Ittehad (SDI) Party",0
"Sindh Taraqi Passand Party (STP)",0
"SUP",0
"TDP",0
"TEM",0
"TIPM",0
"TIUP",0
"TJP",0
"TNP",0
"TTNP",0
