"Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Eccentricity"
"Aalay Kalam Ullah Farman Rasool",0,0,NA,0,0.00138504155125364,0
"Aap Janab Sarkar Party",0,0,NA,0,0.00138504155125364,0
"AATP",0,0,NA,0,0.00138504155125364,0
"Afgan Qomi Movement (Pakistan)",0,0,NA,0,0.00138504155125364,0
"AJP",2,0,0.326241134751773,0.0882361952505339,0.0036446137485224,5
"AJP-P",1,0,0.282208588957055,0.0548521386009414,0.00256219496595086,6
"AL",0,0,NA,0,0.00138504155125364,0
"ALI",0,0,NA,0,0.00138504155125364,0
"All Pakistan Bayrozgar Party",0,0,NA,0,0.00138504155125364,0
"All Pakistan Muslim League",7,7.6569290358764,0.393162393162393,0.331883269536113,0.0093787257750421,4
"All Pakistan Youth Working Party",0,0,NA,0,0.00138504155125364,0
"ALPP",0,0,NA,0,0.00138504155125364,0
"AMLP",1,0,0.283076923076923,0.0307216018360838,0.00273251744402589,6
"ANP",14,108.542103614213,0.36078431372549,0.573399125261217,0.0180361185282892,5
"APMM",0,0,NA,0,0.00138504155125364,0
"APP",0,0,NA,0,0.00138504155125364,0
"ATP",0,0,NA,0,0.00138504155125364,0
"Awami Himayat Tehreek Pakistan",2,0,0.321678321678322,0.0915456652409514,0.00363969585746281,5
"Awami Jamhuri Ittehad Pakistan",0,0,NA,0,0.00138504155125364,0
"Awami Justice Party Pakistan",0,0,NA,0,0.00138504155125364,0
"Awami Muslim League Pakistan",5,0.976068376068376,0.391489361702128,0.270073845809212,0.00689783932473729,5
"Awami Workers Party",3,91,0.307692307692308,0.136964193037479,0.0062825000532202,6
"AWP",2,0,0.333333333333333,0.124703529258794,0.00368431931852024,5
"Azad Pakistan Party",0,0,NA,0,0.00138504155125364,0
"Bahawalpur National Awami Party",0,0,NA,0,0.00138504155125364,0
"BAP",2,0,0.333333333333333,0.0863209395214825,0.00387058929633304,5
"BNP",6,23.9028089557501,0.40174672489083,0.29431076250939,0.00845667984954334,4
"BNP-A",6,17.643202633517,0.37246963562753,0.244752319178588,0.00892539948467535,4
"BPP",0,0,NA,0,0.00138504155125364,0
"Christian Progressive Movement",0,0,NA,0,0.00138504155125364,0
"Communist Party of Pakistan",0,0,NA,0,0.00138504155125364,0
"GAP",0,0,NA,0,0.00138504155125364,0
"GDA",6,185.517011301007,0.356589147286822,0.168632639706883,0.0111456441614949,5
"GDP",1,0,0.263610315186246,0.0116016782295938,0.00296400780746252,6
"Hazara Awami Ittehad Pakistan",0,0,NA,0,0.00138504155125364,0
"Hazara Democratic Party",0,0,NA,0,0.00138504155125364,0
"HDP",1,0,0.2875,0.0558182775751594,0.00245408452288445,5
"HDTB",0,0,NA,0,0.00138504155125364,0
"HDTP",0,0,NA,0,0.00138504155125364,0
"HKP",0,0,NA,0,0.00138504155125364,0
"HQM",1,0,0.2875,0.0619081982489165,0.00252158841355262,5
