"Party","Clustering","Degree"
"AJP",1,2
"Awami Himayat Tehreek Pakistan",1,2
"AWP",1,2
"BAP",1,2
"Jamhoori Wattan Party",1,4
"Jannat Pakistan Party",1,3
"MJAHP",1,2
"Mohib-e-Wattan Nowjawan Inqilabion Ki Anjuman",1,2
"Muttahidda Majlis-e-Amal Pakistan",1,4
"National Party",1,5
"NP",1,3
"Pakistan Citizen Movement",1,3
"Pakistan Freedom Party",1,2
"Pakistan Human Rights Party",1,2
"Pakistan Justice Party",1,5
"Pakistan Muslim League (J)",1,2
"PAL",1,2
"PML-C",1,2
"PMP",1,2
"PNAP",1,2
"PTE",1,6
"Punjab National Party",1,2
"Sunni Ittehad Council",1,3
"SUP",1,3
"Tehreek Tabdili Nizam Pakistan",1,3
"TJP",1,2
"TNP",1,2
"TTNP",1,3
"TTP",1,2
"Menecracy Action Party of Pakistan",0.933333333333333,6
"Awami Muslim League Pakistan",0.9,5
"KIAP",0.866666666666667,6
"Sunni Tehreek",0.8,5
"BNP",0.733333333333333,6
"PML",0.733333333333333,6
"All Pakistan Muslim League",0.666666666666667,7
"QWP",0.666666666666667,3
"Jamiat Ulma-e-Pakistan (Noorani)",0.642857142857143,8
"Pakistan Muslim League (F)",0.6,6
"BNP-A",0.533333333333333,6
"Pakistan Sunni Tehreek",0.515151515151515,12
"PRHP",0.504761904761905,15
"MKQM",0.5,8
"SKQM",0.5,4
"MOTP",0.466666666666667,6
"PAT",0.466666666666667,10
"Qaumi Watan Party (Sherpao)",0.466666666666667,6
"JUI",0.43859649122807,19
"ANP",0.417582417582418,14
"JI",0.402597402597403,22
"MUTAHIDA DEENI MAHAZ",0.375,16
"Pakistan Muslim League",0.348484848484849,12
"Awami Workers Party",0.333333333333333,3
"SDP",0.333333333333333,3
"PML-N",0.303030303030303,22
"PPP",0.298941798941799,28
"IPP",0.285714285714286,8
"PKMAP",0.277777777777778,9
"JUI-F",0.276923076923077,26
"PTI",0.271739130434783,24
"JI-P",0.267195767195767,28
"PMML",0.267195767195767,28
"Tehreek-e-Tahaffuze Pakistan",0.256410256410256,13
"MQM",0.225806451612903,31
"Pukhtoonkhwa Milli Awami Party",0.2,5
"TLP",0.198863636363636,33
"GDA",0.133333333333333,6
"Aalay Kalam Ullah Farman Rasool",0,0
"Aap Janab Sarkar Party",0,0
"AATP",0,0
"Afgan Qomi Movement (Pakistan)",0,0
"AJP-P",0,1
"AL",0,0
"ALI",0,0
"All Pakistan Bayrozgar Party",0,0
"All Pakistan Youth Working Party",0,0
"ALPP",0,0
"AMLP",0,1
"APMM",0,0
"APP",0,0
"ATP",0,0
"Awami Jamhuri Ittehad Pakistan",0,0
"Awami Justice Party Pakistan",0,0
"Azad Pakistan Party",0,0
"Bahawalpur National Awami Party",0,0
"BPP",0,0
"Christian Progressive Movement",0,0
"Communist Party of Pakistan",0,0
"GAP",0,0
"GDP",0,1
"Hazara Awami Ittehad Pakistan",0,0
"Hazara Democratic Party",0,0
"HDP",0,1
"HDTB",0,0
"HDTP",0,0
"HKP",0,0
"HQM",0,1
"IJI",0,1
"Islami Inqalab Party",0,1
"Islami Tehreek Pakistan",0,0
"Islamic Republican Party",0,0
"Istehkaam-e-Pakistan Movement",0,0
"Istiqlal Party",0,0
"Jamait Ahle-Hadith Pakistan (Elahi Zaheer)",0,0
"Jamiat Ulama-e-Islam (S)",0,1
"Jamiat Ulama-e-Islam Nazryati Pakistan",0,0
"Jamiat Ulma-e-Pakistan (Niazi)",0,0
"Jamote Qaumi Movement",0,0
"JQM",0,0
"JUP",0,1
"JWP",0,0
"Karwan-i-Millat Pakistan",0,0
"KS",0,0
"Majlis-e-Wahdat-e-Muslimeen Pakistan",0,2
"Markazi Jamiat Mushaikh Pakistan",0,0
"Markazi Jamiat Ulema-e-Pakistan (FK)",0,0
"Mustaqbil Pakistan",0,0
"Mutahida Baloch Movement Pakistan",0,0
"Mutahidda Qabil Party",0,0
"MWMP",0,1
"National Peoples Party",0,1
"NDM",0,1
"PAAM",0,0
"Pak Justice Party",0,0
"Pak Muslim Alliance",0,0
"Pak Wattan Party",0,0
"Pakistan Aman Party",0,1
"Pakistan Awami Party",0,1
"Pakistan Bachao Party",0,0
"Pakistan Brohi Party",0,0
"Pakistan Conservative Party",0,0
"Pakistan Democratic party",0,0
"Pakistan Falah Party",0,2
"Pakistan Gharib Party",0,0
"Pakistan Insani Haqook Party",0,0
"Pakistan Islami Justice Party",0,0
"Pakistan Ittehad Tehreek",0,0
"Pakistan Kissan Ittehad",0,0
"Pakistan Muhafiz Party",0,0
"Pakistan Muhafiz Watan Party",0,0
"Pakistan Muhajir League",0,0
"Pakistan Muhammadi Party",0,0
"Pakistan Muslim League-Muttahida",0,0
"Pakistan Muslim League (Safdar)",0,0
