"Party","Community"
"AHTP",1
"AMLP",1
"BNP",1
"JPP",1
"JUI-S",1
"MDM",1
"PFP",1
"PML",1
"PRHP",1
"PST",1
"AJP",2
"APML",2
"HDP",2
"HQM",2
"IIP",2
"IJI",2
"JI",2
"JI-P",2
"JUI",2
"JUI-F",2
"JUP-N",2
"MAPP",2
"MMA",2
"NDM",2
"PAL",2
"PJP",2
"PMML",2
"PTE",2
"TJP",2
"TTNP",2
"AJP-P",3
"AWP",3
"GDA",3
"GDP",3
"IPP",3
"JUP",3
"MWMP",3
"NPP",3
"Pakistan Muslim League",3
"PAP",3
"PAP-A",3
"PFP-F",3
"PIRP",3
"PML-C",3
"PML-F",3
"PML-N",3
"PML-Z",3
"PMLZ",3
"PNP",3
"PPP",3
"PTI",3
"SIC",3
"Sindh Taraqi Passand Party (STP)",3
"ST",3
"TDP",3
"TIUP",3
"TNP",3
"ANP",4
"MKQM",4
"MOTP",4
"PCM",4
"PML-J",4
"PMP",4
"QWP",4
"QWP-S",4
"SKQM",4
"TTP",4
"BAP",5
"BNP-A",5
"JWP",5
"KIAP",5
"MJAHP",5
"MQM",5
"MWNIKA",5
"NP",5
"PAT",5
"PHRP",5
"PKMAP",5
"PMLO",5
"PNAP",5
"PSP",5
"SDP",5
"Sindh Dost Ittehad (SDI) Party",5
"SUP",5
"TEM",5
"TIPM",5
"TLP",5
