"Party","Degree_in_Ego","Degree_in_Full","Betweenness","Closeness","Is_PTI"
"PTI",24,24,0.12269782451826,0.441025641025641,"Yes"
"MQM",17,31,0.141496981877657,0.436548223350254,"No"
"PPP",16,29,0.108511410218306,0.425742574257426,"No"
"PMML",14,27,0.0963815721159681,0.469945355191257,"No"
"TLP",14,33,0.184056827097371,0.44559585492228,"No"
"JI-P",13,28,0.114768212757523,0.419512195121951,"No"
"JUI-F",13,26,0.120993094558163,0.40952380952381,"No"
"JI",12,22,0.0434698053272951,0.467391304347826,"No"
"JUI",12,19,0.0378960052336229,0.407582938388626,"No"
"PML-N",12,22,0.107167435062133,0.398148148148148,"No"
"TTP",10,15,0.0398845060705695,0.450261780104712,"No"
"ANP",9,14,0.0246119884540365,0.365957446808511,"No"
"Pakistan Muslim League",9,12,0.0732041884932553,0.43,"No"
"MDM",7,16,0.0526675651153761,0.450261780104712,"No"
"PKMAP",6,11,0.0550515776587191,0.438775510204082,"No"
"PTE",6,6,0,0.434343434343434,"No"
"BNP-A",5,6,0.00354538841775885,0.378854625550661,"No"
"PML-F",5,6,0.00418074735721794,0.333333333333333,"No"
"AWP",4,5,0.0232558139534884,0.378854625550661,"No"
"IPP",4,8,0.00388519463231986,0.389140271493213,"No"
"QWP",3,5,0.00645699451787003,0.369098712446352,"No"
"SIC",3,3,0,0.364406779661017,"No"
"TNP",2,2,0,0.345381526104418,"No"
"PFP-F",1,2,0.0232558139534884,0.309352517985612,"No"
"TIUP",1,1,0,0.307142857142857,"No"
